words,wordId
b'185',1301
b'1850',1302
b'185000',1303
b'18501854',1304
b'1851',1305
b'18511859',1306
b'18518',1307
b'1852',1308
b'1853',1309
b'18531854',1310
b'185357',1311
b'1854',1312
b'18541858',1313
b'1855',1314
b'1856',1315
b'18561858',1316
b'185661',1317
b'1857',1318
b'185765',1319
b'1858',1320
b'18581859',1321
b'185862',1322
b'18589',1323
b'1858none',1324
b'1859',1325
b'18591860',1326
b'185961',1327
b'185l',1328
b'186',1329
b'1860',1330
b'18601861',1331
b'18604',1332
b'186061',1333
b'186065',1334
b'1861',1335
b'186164',1336
b'1862',1337
b'1863',1338
b'18634',1339
b'18637',1340
b'1864',1341
b'1865',1342
b'18651866',1343
b'18656',1344
b'186572',1345
b'1866',1346
b'18661868',1347
b'186667',1348
b'1867',1349
b'18671868',1350
b'18671869',1351
b'186768',1352
b'186769',1353
b'186770',1354
b'1867as',1355
b'1868',1356
b'18689',1357
b'1868General',1358
b'1868the',1359
b'1869',1360
b'18691870',1361
b'186970',1362
b'186Les',1363
b'187',1364
b'1870',1365
b'1870the',1366
b'1871',1367
b'187189',1368
b'187192',1369
b'1871On',1370
b'1872',1371
b'1873',1372
b'187390',1373
b'187392',1374
b'1874',1375
b'1875',1376
b'187577',1377
b'1876',1378
b'1877',1379
b'1878',1380
b'18789',1381
b'1878The',1382
b'1878nearly',1383
b'1879',1384
b'18791848',1385
b'187983',1386
b'188',1387
b'1880',1388
b'18806',1389
b'1881',1390
b'18812',1391
b'18817',1392
b'188191',1393
b'1882',1394
b'18821888',1395
b'18825',1396
b'1882an',1397
b'1883',1398
b'18834',1399
b'18835',1400
b'188387',1401
b'188396',1402
b'1884',1403
b'1885',1404
b'1886',1405
b'1887',1406
b'1888',1407
b'1889',1408
b'18891928',1409
b'189',1410
b'1890',1411
b'189098',1412
b'1890s',1413
b'1891',1414
b'18916',1415
b'189192',1416
b'1892',1417
b'18925',1418
b'1893',1419
b'1894',1420
b'18941898',1421
b'1895',1422
b'189596',1423
b'1896',1424
b'18961901',1425
b'1897',1426
b'1898',1427
b'18981899',1428
b'18981900',1429
b'1899',1430
b'18991900',1431
b'18I',1432
b'18s',1433
b'18th',1434
b'19',1435
b'190',1436
b'1900',1437
b'19005',1438
b'1901',1439
b'190114',1440
b'1902',1441
b'19025',1442
b'1903',1443
b'190311',1444
b'19031904',1445
b'1904',1446
b'19045',1447
b'19049',1448
b'1905',1449
b'1906',1450
b'19069',1451
b'1907',1452
b'19078',1453
b'1908',1454
b'1909',1455
b'191',1456
b'1910',1457
b'1911',1458
b'191112',1459
b'1912',1460
b'1913',1461
b'191314',1462
b'1914',1463
b'19141',1464
b'1915',1465
b'1916',1466
b'1917',1467
b'1918',1468
b'192',1469
b'1920',1470
b'1921',1471
b'1922',1472
b'1927',1473
b'1928',1474
b'193',1475
b'1930',1476
b'1931',1477
b'1937',1478
b'1938',1479
b'193d',1480
b'194',1481
b'1940',1482
b'1941',1483
b'1942',1484
b'194As',1485
b'195',1486
b'1950',1487
b'196',1488
b'1960',1489
b'1964',1490
b'1967',1491
b'197',1492
b'1970',1493
b'1971',1494
b'198',1495
b'198205',1496
b'198208',1497
b'199',1498
b'1991',1499
b'199202',1500
b'199204',1501
b'1992859',1502
b'1994',1503
b'1997',1504
b'1998',1505
b'1999',1506
b'19s',1507
b'19th',1508
b'1Bro',1509
b'1Cameloo',1510
b'1Car',1511
b'1Cit',1512
b'1Con',1513
b'1Draw',1514
b'1Drawer',1515
b'1English',1516
b'1Fai',1517
b'1Fairy',1518
b'1G',1519
b'1Gen',1520
b'1Gent',1521
b'1Groo',1522
b'1Guard',1523
b'1Har',1524
b'1Hun',1525
b'1Hunts',1526
b'1I',1527
b'1L',1528
b'1Lo',1529
b'1LoG',1530
b'1Lor',1531
b'1LorG',1532
b'1Lord',1533
b'1Man',1534
b'1Mes',1535
b'1Mur',1536
b'1Murth',1537
b'1Murtherer',1538
b'1Neighbor',1539
b'1Off',1540
b'1Offi',1541
b'1Out',1542
b'1Outl',1543
b'1Pa',1544
b'1Perseon',1545
b'1Pet',1546
b'1Play',1547
b'1Player',1548
b'1Ple',1549
b'1Prent',1550
b'1Rom',1551
b'1Sen',1552
b'1Senat',1553
b'1Ser',1554
b'1Seru',1555
b'1Seruing',1556
b'1Sol',1557
b'1Sold',1558
b'1Sonne',1559
b'1Var',1560
b'1Varro',1561
b'1Warder',1562
b'1Wat',1563
b'1Watch',1564
b'1arnenerait',1565
b'1cahe10atxt',1566
b'1cahe10txt',1567
b'1cahe10zip',1568
b'1cahe11txt',1569
b'1d',1570
b'1he',1571
b'1ittle',1572
b'1ong',1573
b'1rbnh10atxt',1574
b'1rbnh10txt',1575
b'1rbnh10zip',1576
b'1rbnh11txt',1577
b'1s',1578
b'1st',1579
b'1stHas',1580
b'1st_',1581
b'1stbw10zip',1582
b'1vkip10atxt',1583
b'1vkip11txt',1584
b'1vkip11zip',1585
b'1vkip12txt',1586
b'2',1587
b'20',1588
b'200',1589
b'2000',1590
b'20000',1591
b'200000',1592
b'2001',1593
b'2002',1594
b'2003',1595
b'2004',1596
b'201',1597
b'201214',1598
b'202',1599
b'2022',1600
b'202235',1601
b'2023',1602
b'2024',1603
b'202AD',1604
b'203',1605
b'2030',1606
b'2036',1607
b'204',1608
b'2044',1609
b'2045',1610
b'205',1611
b'2050',1612
b'205207',1613
b'2055',1614
b'2058',1615
b'206',1616
b'2069',1617
b'207',1618
b'2070',1619
b'207213',1620
b'207214',1621
b'208',1622
b'2083',1623
b'2084',1624
b'2085',1625
b'2089',1626
b'209',1627
b'2091',1628
b'2097',1629
b'20Sidon',1630
b'20for',1631
b'20s',1632
b'20th',1633
b'21',1634
b'210',1635
b'2100',1636
b'21000',1637
b'21000seeming',1638
b'210212',1639
b'210217',1640
b'210240',1641
b'2108',1642
b'211',1643
b'21130',1644
b'212',1645
b'212213',1646
b'2123',1647
b'212393',1648
b'2124',1649
b'2127',1650
b'2128',1651
b'2129',1652
b'213',1653
b'2130',1654
b'214',1655
b'2142',1656
b'2145',1657
b'2147',1658
b'2148',1659
b'2149',1660
b'215',1661
b'2150',1662
b'2151',1663
b'215217',1664
b'2157',1665
b'216',1666
b'216269',1667
b'217',1668
b'2171',1669
b'218',1670
b'2184',1671
b'2186',1672
b'219',1673
b'219221',1674
b'2196',1675
b'21O00',1676
b'21has',1677
b'21s',1678
b'21st',1679
b'21st_A',1680
b'22',1681
b'220',1682
b'2200',1683
b'22000',1684
b'220190',1685
b'220227',1686
b'2205',1687
b'2209',1688
b'221',1689
b'221b',1690
b'222',1691
b'222224',1692
b'2224',1693
b'223',1694
b'2230272000',1695
b'2233',1696
b'224',1697
b'224226',1698
b'224232',1699
b'225',1700
b'225226',1701
b'22552205',1702
b'226',1703
b'226236',1704
b'227',1705
b'2270',1706
b'228',1707
b'2288',1708
b'229',1709
b'22d',1710
b'22d_The',1711
b'22nd',1712
b'23',1713
b'230',1714
b'2300',1715
b'23000',1716
b'2306',1717
b'231',1718
b'231236',1719
b'2315',1720
b'231920',1721
b'232',1722
b'2324',1723
b'2325',1724
b'2326',1725
b'2328',1726
b'233',1727
b'2330',1728
b'23300',1729
b'2331',1730
b'2332',1731
b'233202',1732
b'233265',1733
b'2333',1734
b'2334',1735
b'234',1736
b'235',1737
b'2350',1738
b'23538',1739
b'23572255',1740
b'236',1741
b'237',1742
b'237000',1743
b'238',1744
b'2383',1745
b'2388',1746
b'239',1747
b'239241',1748
b'2396',1749
b'23Mr',1750
b'23d',1751
b'23dSchooner',1752
b'23rd',1753
b'23s',1754
b'24',1755
b'240',1756
b'2400',1757
b'240000',1758
b'241',1759
b'2413',1760
b'242',1761
b'2423',1762
b'2428',1763
b'243',1764
b'2430',1765
b'24303',1766
