wordId,docId_list
100696,3
100697,"16,1,26,17,27,42,0,34,12,2,9"
100698,"0,9"
100699,"43,41,26,17,14,18,10,24,44,13,3"
1007,3
10070,0
100700,24
100701,12
100702,"0,12"
100703,"43,19,41,26,25,13,9"
100704,31
100705,3
100706,0
100707,"43,32,4,26,23,14,18,27,24,15,36,12,3,2"
100708,0
100709,"31,23,18"
10071,"28,1,18,12,3"
100710,12
100711,"41,26,23,18,0"
100712,18
100713,"43,16,31,19,40,4,26,11,6,17,14,18,27,20,0,44,36,33,7,12,13,2,9"
100714,6
100715,25
100716,0
100717,14
100718,4
100719,"0,12"
10072,9
100720,"43,16,31,1,32,19,40,4,30,41,26,11,6,17,14,18,20,15,44,33,34,12,13,3,2,9"
100721,24
100722,"19,4,26,20,33,34"
100723,26
100724,0
100725,12
100726,"40,14,36"
100727,"43,31,32,19,40,4,41,26,11,17,14,18,24,20,15,0,44,36,33,7,12,13,2,9"
100728,"4,41,26,6,0,44,36,34"
100729,0
10073,21
100730,0
100731,"41,6,2,9"
100732,0
100733,0
100734,"43,23,6,8"
100735,2
100736,23
100737,17
100738,"28,43,1,32,19,4,30,41,26,11,23,6,14,18,35,15,0,33,7,34,3,2"
100739,0
10074,21
100740,41
100741,"43,16,4,26,11,17,14,18,35,15,0,44,36,3,2,9"
100742,"0,12"
100743,"43,4,41,26,23,17,14,10,0,36,2,9"
100744,0
100745,20
100746,"43,4,2"
100747,4
100748,"26,6,17,24,20,0,12,3"
100749,4
10075,21
100750,2
100751,"28,43,16,31,37,1,32,19,5,40,4,30,38,41,26,11,23,6,17,14,18,8,22,27,10,24,35,42,20,15,0,44,36,33,29,25,7,34,39,21,12,13,3,2,9"
100752,"2,9"
100753,17
100754,2
100755,19
100756,44
100757,2
100758,2
100759,2
10076,"30,42,12"
100760,11
100761,36
100762,"0,12,3"
100763,36
100764,12
100765,10
100766,0
100767,"32,10,0,34,12,2,9"
100768,2
100769,"28,1,32,10,12,3,2"
10077,23
100770,10
100771,11
100772,26
100773,"14,36,2"
100774,"28,43,16,31,1,32,19,5,40,4,30,38,41,26,11,23,6,17,14,18,22,27,10,24,35,42,20,15,0,44,33,7,34,39,21,12,13,3,2,9"
100775,"1,5,0,44,33,34"
100776,0
100777,2
100778,0
100779,"28,43,16,31,37,1,32,19,5,40,4,30,38,41,26,11,23,6,17,14,18,8,22,27,10,24,35,42,20,15,0,44,36,33,29,7,34,39,21,12,13,3,2,9"
10078,3
100780,23
100781,44
100782,5
100783,"44,39"
100784,2
100785,10
100786,12
100787,14
100788,2
100789,"28,43,16,31,37,1,32,19,5,40,4,30,38,41,26,11,23,6,17,14,18,8,22,27,10,24,35,42,20,15,0,44,36,33,29,25,7,34,39,21,12,13,3,2,9"
10079,0
100790,12
100791,30
100792,14
100793,0
100794,26
100795,9
100796,10
100797,"28,43,16,31,37,1,32,19,5,40,4,30,41,26,11,6,17,14,18,22,10,24,35,42,20,15,0,44,36,33,29,25,7,34,39,12,13,3,2,9"
100798,2
100799,"20,0,7,12"
1008,"1,21,3"
10080,0
100800,10
100801,0
100802,2
100803,9
100804,2
100805,44
100806,9
100807,2
100808,"8,2"
100809,2
10081,18
100810,"43,32,41,26,11,14,18,33"
100811,33
100812,"27,2"
100813,18
100814,36
100815,36
100816,43
100817,12
100818,36
100819,36
10082,2
100820,23
100821,2
100822,3
100823,13
100824,13
100825,41
100826,27
100827,18
100828,41
100829,12
10083,"15,33"
100830,23
100831,6
100832,23
100833,36
100834,36
100835,36
100836,43
100837,27
100838,15
100839,30
10084,36
100840,33
100841,12
100842,41
100843,40
100844,23
100845,8
100846,18
100847,37
100848,8
100849,8
10085,12
100850,8
100851,8
100852,9
100853,2
100854,36
100855,35
100856,36
100857,23
100858,5
100859,"43,5"
10086,3
100860,43
100861,36
100862,36
100863,43
100864,43
100865,43
100866,43
100867,43
100868,35
100869,2
10087,19
100870,13
100871,41
100872,13
100873,35
100874,35
100875,35
100876,36
100877,36
100878,36
100879,36
10088,21
100880,36
100881,36
100882,36
100883,36
100884,36
100885,36
100886,36
100887,36
100888,36
100889,0
10089,43
100890,0
100891,12
100892,12
100893,36
100894,36
100895,36
100896,12
100897,"31,5,40,30,23,6,14,8,20,0,36,33"
100898,15
100899,14
1009,23
10090,18
100900,14
100901,12
100902,21
100903,18
100904,18
100905,23
100906,"18,21"
100907,18
100908,18
100909,23
10091,19
100910,23
100911,23
100912,23
100913,15
100914,23
100915,23
100916,3
100917,21
100918,21
100919,2
10092,"19,21,3"
100920,21
100921,"18,29"
100922,34
100923,18
100924,18
100925,21
100926,19
100927,18
100928,24
100929,"8,21"
10093,"31,1,18,20,15,21,3"
100930,18
100931,23
100932,33
100933,18
100934,23
100935,29
100936,18
100937,18
100938,"28,16,31,37,1,32,19,4,30,41,26,11,23,14,18,8,27,24,35,20,15,0,44,33,29,7,34,21,12,13,3,2"
100939,43
10094,21
100940,1
100941,5
100942,5
100943,12
100944,3
100945,23
100946,"43,19,40,26,17,15,25"
100947,0
100948,"19,30,26,17,14,18,33,34,21,9"
100949,"43,26"
10095,20
100950,"26,35,33,2"
100951,44
100952,1
100953,19
100954,12
100955,18
100956,23
100957,"31,32,19,4,30,38,6,22,27,15,0,33,7,34,39,2,9"
100958,4
100959,9
10096,2
100960,"12,3"
100961,7
100962,"43,12"
100963,"43,1,40,26,18,44,29,7,3"
100964,"32,19,22,15,33,2,9"
100965,9
100966,"31,40,6,15,33,34,2,9"
100967,7
100968,"31,4,22,15,0,33,2,9"
100969,3
10097,2
100970,"43,31,1,19,4,26,11,6,14,8,20,15,25,39,12,3"
100971,"19,23,14,44,2,9"
100972,"31,32,19,4,30,38,6,22,15,0,33,34,39,2,9"
100973,2
100974,4
100975,"43,16,37,1,32,4,41,26,11,23,17,18,8,10,24,35,42,20,0,44,29,7,34,21,12,13,3,2"
100976,23
100977,"0,12"
100978,12
100979,"43,1,32,41,11,23,17,8,20,0,44,34,21,12,3,2"
10098,43
100980,"1,11,20,44,12,3"
100981,"16,1,26,11,23,18,42,44,21,3"
100982,10
100983,1
100984,"43,16,1,41,26,23,0,7,34,21,3,2"
100985,26
100986,"43,16,1,32,41,26,11,23,18,8,10,35,42,20,0,44,21,12,3,2"
100987,14
100988,0
100989,0
10099,17
100990,0
100991,20
100992,8
100993,6
100994,41
100995,"31,1,32,40,6,20,15,44,34,9"
100996,"1,32,19,23,3,2"
100997,"28,34"
100998,18
100999,0
101,23
1010,21
10100,"43,1,8,42,20,33,7,34,21,3"
101000,0
101001,"28,43,32,30,41,26,11,24,20,0,33,7,12,13,3,2,9"
101002,"43,6,18,24,20,7,12,3,2,9"
101003,24
101004,13
101005,26
101006,41
101007,41
101008,18
101009,"32,11,23,15,33"
10101,0
101010,"34,3"
101011,9
101012,9
101013,12
